Year,GPU,None,TPU
2017,0.0,100.0,0.0
2018,15.075699144647329,84.92430085535267,0.0
2019,26.868296846501277,73.13139832036946,0.0003048331292644885
2020,16.697340201172903,80.64432290541451,2.658336893412581
2021,19.828923320274722,78.18482919992788,1.9862474797974004
2022,19.348394181220645,79.64046820565768,1.0111376131216714
2023,21.74669728101452,77.16248134283816,1.0908213761473176
2024,29.102892002625058,69.84701975535661,1.0500882420183326
