,1-Year Lag,2-Year Lag
"Healthcare, drugs and biotechnology",0.4668373048934075,0.4731549228266776
IT infrastructure and hosting,0.5045246424007149,0.6096167004273609
Business processes and support services,0.06506253252805184,-0.014654376897469826
Mobility and autonomous vehicles,0.3211359265530139,0.2005420696115392
"Media, social platforms, marketing",0.45228751803472983,0.5126460624530084
