,1-Year Lag,2-Year Lag
"Healthcare, drugs and biotechnology",0.20098281009838825,0.1569738693488008
IT infrastructure and hosting,0.4192616413480575,0.3647566225810272
Business processes and support services,-0.055249997605327866,-0.11299938205286793
Mobility and autonomous vehicles,0.03508450276937948,-0.006584577774368029
"Media, social platforms, marketing",0.33079387398132265,0.29105142807509576
